"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 11 12:20:19 MSK 2022","Tue Jan 11 12:20:40 MSK 2022","21048","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","successfulCreditBuy","successfulCreditBuy()",""
"failed","Tue Jan 11 12:20:52 MSK 2022","Tue Jan 11 12:20:59 MSK 2022","6370","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateCodeWithBugs","validateCodeWithBugs()",""
"broken","Tue Jan 11 12:21:08 MSK 2022","Tue Jan 11 12:21:20 MSK 2022","11396","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateMonth","validateMonth()",""
"failed","Tue Jan 11 12:21:20 MSK 2022","Tue Jan 11 12:21:26 MSK 2022","6205","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateOwner","validateOwner()",""
"failed","Tue Jan 11 12:22:04 MSK 2022","Tue Jan 11 12:22:20 MSK 2022","16288","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","declinedCreditBuy","declinedCreditBuy()",""
"failed","Tue Jan 11 12:21:26 MSK 2022","Tue Jan 11 12:21:31 MSK 2022","5281","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","zeroMonth","zeroMonth()",""
"failed","Tue Jan 11 12:21:48 MSK 2022","Tue Jan 11 12:21:53 MSK 2022","5257","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateCode","validateCode()",""
"failed","Tue Jan 11 12:21:03 MSK 2022","Tue Jan 11 12:21:08 MSK 2022","5365","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsOwner","wrongSymbolsOwner()",""
"passed","Tue Jan 11 12:21:00 MSK 2022","Tue Jan 11 12:21:01 MSK 2022","737","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","emptyForm","emptyForm()",""
"passed","Tue Jan 11 12:20:59 MSK 2022","Tue Jan 11 12:21:00 MSK 2022","1239","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsCardNumber","wrongSymbolsCardNumber()",""
"passed","Tue Jan 11 12:21:02 MSK 2022","Tue Jan 11 12:21:03 MSK 2022","1250","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsMonth","wrongSymbolsMonth()",""
"broken","Tue Jan 11 12:20:40 MSK 2022","Tue Jan 11 12:20:46 MSK 2022","5696","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","successfulDebitBuy","successfulDebitBuy()",""
"failed","Tue Jan 11 12:21:31 MSK 2022","Tue Jan 11 12:21:48 MSK 2022","16584","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","declinedDebitBuy","declinedDebitBuy()",""
"broken","Tue Jan 11 12:21:53 MSK 2022","Tue Jan 11 12:22:04 MSK 2022","10809","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateYear","validateYear()",""
"failed","Tue Jan 11 12:20:46 MSK 2022","Tue Jan 11 12:20:52 MSK 2022","6101","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateCardNumber","validateCardNumber()",""
"passed","Tue Jan 11 12:21:01 MSK 2022","Tue Jan 11 12:21:02 MSK 2022","1121","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsYear","wrongSymbolsYear()",""
